Wall time,Step,Value
1727286442.7737381,120,-0.007159784901887178
1727286459.697785,240,-0.01005469635128975
1727286476.9401612,360,-0.009442192502319813
1727286494.1450953,480,-0.007599859498441219
1727286510.9591186,600,-0.004873406141996384
1727286527.7417078,720,-0.0036658807657659054
1727286544.7283175,840,-0.0027468926273286343
1727286561.4582813,960,-0.0021973620168864727
1727286578.0291824,1080,-0.0018480841536074877
1727286594.8108013,1200,-0.0015286358539015055
1727286611.7370055,1320,-0.0013827335787937045
1727286628.4967241,1440,-0.0011972514912486076
1727286645.6023746,1560,-0.0010918356711044908
1727286663.4202712,1680,-0.0010069548152387142
1727286681.8562675,1800,-0.000967926112934947
1727286699.5683012,1920,-0.0009151558042503893
1727286717.46465,2040,-0.0008814272005110979
1727286735.5172992,2160,-0.0008448612061329186
1727286753.4106457,2280,-0.0008114033262245357
1727286771.6396437,2400,-0.000787027645856142
1727286790.0385966,2520,-0.0007519302307628095
1727286808.528087,2640,-0.0007400129688903689
1727286826.9053674,2760,-0.0007268976187333465
1727286845.6217058,2880,-0.0007006301893852651
1727286864.3998466,3000,-0.0006891010561957955
1727286882.9176483,3120,-0.0006755995564162731
1727286901.7668893,3240,-0.000673847331199795
1727286920.9266236,3360,-0.0006649016868323088
1727286939.8112752,3480,-0.0006648622220382094
1727286958.5581357,3600,-0.0006502314354293048
1727286977.5413752,3720,-0.0006453913520090282
1727286996.3524764,3840,-0.0006427986663766205
1727287015.4980721,3960,-0.0006284011178649962
1727287034.200589,4080,-0.000619536847807467
1727287052.9149957,4200,-0.000595034274738282
1727287071.5667882,4320,-0.0005834313342347741
1727287090.829896,4440,-0.0005715046427212656
1727287109.832067,4560,-0.0005645162309519947
1727287128.5995514,4680,-0.0005573903326876462
1727287147.55344,4800,-0.0005488905590027571
1727287166.4621413,4920,-0.0005313799483701587
1727287185.5625439,5040,-0.0005250056274235249
1727287204.2246675,5160,-0.0005180519656278193
1727287223.4033213,5280,-0.0005110432975925505
1727287242.3323772,5400,-0.0005015840870328248
1727287261.1444218,5520,-0.0004953732714056969
1727287280.1717,5640,-0.0004809538077097386
1727287299.56498,5760,-0.00047422252828255296
1727287318.9105551,5880,-0.00046686865971423686
1727287338.2187474,6000,-0.00045488515752367675
1727287357.703815,6120,-0.0004442197969183326
1727287376.701869,6240,-0.00043994482257403433
