Wall time,Step,Value
1726266361.9870937,120,-0.0011132031213492155
1726266377.3653486,240,-0.0018137784209102392
1726266391.9435537,360,-0.0020191259682178497
1726266408.0914817,480,-0.0019395091803744435
1726266424.732718,600,-0.0017034531338140368
1726266441.8443248,720,-0.0016391512472182512
1726266458.5610206,840,-0.0016146018169820309
1726266476.4326375,960,-0.0015950900269672275
1726266493.9444647,1080,-0.0014878131914883852
1726266512.4329104,1200,-0.0014699739404022694
1726266529.9954891,1320,-0.0017215695697814226
1726266548.4392533,1440,-0.0013846696820110083
1726266566.579095,1560,-0.001366916112601757
1726266585.1956728,1680,-0.0013250132324174047
1726266603.5797865,1800,-0.0013398639857769012
1726266622.5021195,1920,-0.0012927298666909337
1726266641.3849497,2040,-0.0012863809242844582
1726266661.0401847,2160,-0.0012630925048142672
1726266680.2329526,2280,-0.0012622664216905832
1726266699.8524127,2400,-0.0012559291208162904
1726266719.0085752,2520,-0.001249756314791739
1726266739.0169394,2640,-0.001239961595274508
1726266758.3507037,2760,-0.0012220587814226747
1726266778.1651292,2880,-0.0012280672090128064
1726266797.7920356,3000,-0.0012186391977593303
1726266817.282684,3120,-0.001196394325233996
1726266836.3543239,3240,-0.0011880532838404179
1726266855.94101,3360,-0.0011884304694831371
1726266874.8424575,3480,-0.0011732400162145495
1726266894.357298,3600,-0.0011684485943987966
1726266913.386562,3720,-0.0011601196601986885
1726266932.613833,3840,-0.0011697111185640097
1726266951.5073485,3960,-0.0011686963262036443
1726266970.9895194,4080,-0.0011639485601335764
1726266989.9225943,4200,-0.0011568209156394005
1726267009.2663229,4320,-0.0011529151815921068
1726267028.368981,4440,-0.0011432539904490113
1726267047.688851,4560,-0.0011425688862800598
1726267066.679398,4680,-0.0011477036168798804
1726267086.3693504,4800,-0.0011467572767287493
1726267105.4852145,4920,-0.0011316899908706546
1726267125.2767684,5040,-0.0011361384531483054
1726267144.3940175,5160,-0.0011411450104787946
1726267163.9521317,5280,-0.001146881957538426
1726267183.4753811,5400,-0.001143964589573443
1726267202.9151697,5520,-0.0011568760965019464
1726267222.0618007,5640,-0.0011616838164627552
1726267241.5134773,5760,-0.0011579184792935848
1726267260.598285,5880,-0.0011621210724115372
1726267280.4022777,6000,-0.0011544727021828294
1726267299.5399752,6120,-0.0011450648307800293
1726267319.0396786,6240,-0.0011362446239218116
1726267338.2324648,6360,-0.0011263531632721424
1726267357.6724203,6480,-0.0011250096140429378
1726267376.6369956,6600,-0.001123489928431809
1726267396.178732,6720,-0.0011169136269018054
1726267415.063472,6840,-0.0011195793049409986
1726267434.4680102,6960,-0.0011228080838918686
1726267453.4347584,7080,-0.001129154465161264
1726267473.1576436,7200,-0.0011248454684391618
1726267492.1612802,7320,-0.0011135987006127834
1726267511.669719,7440,-0.0011047391453757882
1726267530.7002175,7560,-0.0011054681381210685
1726267550.1452622,7680,-0.001098547363653779
1726267569.1696873,7800,-0.0010842783376574516
1726267588.8155909,7920,-0.001081436756066978
1726267607.7718742,8040,-0.0010810336098074913
1726267627.2036185,8160,-0.001087748445570469
1726267646.3684878,8280,-0.0010815602727234364
1726267665.7774978,8400,-0.0010799199808388948
1726267684.9144897,8520,-0.0010778327705338597
1726267704.56714,8640,-0.0010662295389920473
1726267723.569839,8760,-0.0010655297664925456
1726267743.0423744,8880,-0.0010529550490900874
1726267762.1788695,9000,-0.0010487461695447564
1726267781.7169802,9120,-0.0010390958050265908
1726267800.6895888,9240,-0.0010384070919826627
1726267820.309615,9360,-0.0010310764191672206
1726267839.418078,9480,-0.0010348487412557006
1726267858.8430815,9600,-0.0010254470398649573
1726267877.8218908,9720,-0.0010343341855332255
1726267897.2947617,9840,-0.0010339844739064574
1726267916.217338,9960,-0.0010281808208674192
1726267935.5898292,10080,-0.22726957499980927
1726267954.6427798,10200,-0.9933585524559021
1726267974.007176,10320,-1.0217320919036865
1726267992.9653378,10440,-1.0154629945755005
1726268012.5030806,10560,-1.021344542503357
1726268031.4421165,10680,-1.0165530443191528
1726268050.890942,10800,-1.0077672004699707
1726268069.9205854,10920,-1.0043530464172363
1726268089.4501019,11040,-1.00991952419281
1726268108.7611668,11160,-1.0053435564041138
1726268128.2985,11280,-1.0142265558242798
1726268147.3924875,11400,-1.0097030401229858
1726268166.8937697,11520,-1.0000118017196655
1726268185.9587903,11640,-0.989469051361084
1726268205.521248,11760,-0.9819276332855225
1726268224.5576153,11880,-0.9727125763893127
1726268244.1134763,12000,-0.9817134737968445
1726268263.4705145,12120,-0.9702466726303101
1726268283.0133157,12240,-0.976528525352478
1726268301.9985359,12360,-0.9603484272956848
1726268321.6723976,12480,-0.9675636887550354
1726268340.6683931,12600,-0.9620060920715332
1726268360.2608995,12720,-0.9603734612464905
1726268379.4255846,12840,-0.9583990573883057
1726268398.8178375,12960,-0.9622877836227417
1726268417.870401,13080,-0.9546347856521606
1726268437.2901561,13200,-0.9437858462333679
1726268456.438676,13320,-0.9508888721466064
1726268476.0477223,13440,-0.938459038734436
1726268494.934607,13560,-0.9429681897163391
1726268514.5800276,13680,-0.9422655701637268
1726268533.5404842,13800,-0.9319703578948975
1726268553.2213209,13920,-0.9291931986808777
1726268572.2930033,14040,-0.9368285536766052
1726268591.7819207,14160,-0.9250292181968689
1726268610.7393167,14280,-0.9193781614303589
1726268630.2039204,14400,-0.9168121814727783
1726268649.168589,14520,-0.918004035949707
1726268668.5874352,14640,-0.9173857569694519
1726268687.6906245,14760,-0.9194741249084473
1726268707.212695,14880,-0.9118189215660095
1726268726.1537297,15000,-0.914383590221405
1726268745.5401175,15120,-0.9191361665725708
1726268764.5699492,15240,-0.9219208359718323
1726268783.9021978,15360,-0.9243255853652954
