Wall time,Step,Value
1727286442.7737813,120,-0.10541196167469025
1727286459.6978285,240,-0.1616508960723877
1727286476.9402049,360,-0.17220143973827362
1727286494.1452947,480,-0.17690816521644592
1727286510.9592555,600,-0.14735829830169678
1727286527.741829,720,-0.13563090562820435
1727286544.7284667,840,-0.12649503350257874
1727286561.4584959,960,-0.1202625036239624
1727286578.0293286,1080,-0.1151152029633522
1727286594.8109334,1200,-0.10891180485486984
1727286611.7371502,1320,-0.105717733502388
1727286628.496877,1440,-0.09950606524944305
1727286645.6025236,1560,-0.09565085172653198
1727286663.4204464,1680,-0.09435318410396576
1727286681.8564107,1800,-0.09494854509830475
1727286699.56846,1920,-0.09444378316402435
1727286717.464808,2040,-0.0934303030371666
1727286735.5174472,2160,-0.09089946746826172
1727286753.41081,2280,-0.08911121636629105
1727286771.6397963,2400,-0.08863480389118195
1727286790.0387604,2520,-0.08725754171609879
1727286808.5282233,2640,-0.08723534643650055
1727286826.9055178,2760,-0.08735718578100204
1727286845.621882,2880,-0.08554542809724808
1727286864.3999865,3000,-0.08494864404201508
1727286882.917784,3120,-0.08303198218345642
1727286901.767029,3240,-0.0833783820271492
1727286920.9267597,3360,-0.08160055428743362
1727286939.8114188,3480,-0.08221014589071274
1727286958.558387,3600,-0.08017423003911972
1727286977.5415275,3720,-0.07931555807590485
1727286996.3526325,3840,-0.07876629382371902
1727287015.498331,3960,-0.078219935297966
1727287034.200725,4080,-0.07760631293058395
1727287052.91513,4200,-0.07596416026353836
1727287071.5669215,4320,-0.07541875541210175
1727287090.8300421,4440,-0.07501766085624695
1727287109.8321986,4560,-0.07443485409021378
1727287128.5997305,4680,-0.07328741997480392
1727287147.5535843,4800,-0.07215765863656998
1727287166.4622746,4920,-0.07196646928787231
1727287185.562692,5040,-0.07142873853445053
1727287204.2248054,5160,-0.07101183384656906
1727287223.403495,5280,-0.07074423879384995
1727287242.33251,5400,-0.06991726905107498
1727287261.1445642,5520,-0.06912826001644135
1727287280.1718369,5640,-0.06816927343606949
1727287299.5651207,5760,-0.06725047528743744
1727287318.9107955,5880,-0.06658265739679337
1727287338.218885,6000,-0.06569235026836395
1727287357.7039487,6120,-0.06492162495851517
1727287376.7020063,6240,-0.0650385245680809
1727287395.953524,6360,-0.06467267125844955
1727287415.3963497,6480,-0.06424283981323242
1727287435.5369189,6600,-0.06301990896463394
1727287454.6842732,6720,-0.0629015639424324
1727287474.1341054,6840,-0.062108032405376434
1727287493.4619749,6960,-0.06174840033054352
1727287512.6062763,7080,-0.06028494983911514
1727287531.9815242,7200,-0.06022043526172638
1727287551.2984135,7320,-0.059497859328985214
1727287570.8550258,7440,-0.059047527611255646
1727287590.595838,7560,-0.05862654745578766
1727287610.0835567,7680,-0.05815192312002182
1727287629.2976916,7800,-0.05786962807178497
1727287648.7060647,7920,-0.0571163184940815
1727287668.1536064,8040,-0.056905217468738556
1727287687.3066406,8160,-0.055942658334970474
1727287706.5214946,8280,-0.05552747845649719
1727287726.008745,8400,-0.055107709020376205
1727287745.2019868,8520,-0.054610736668109894
1727287764.2010286,8640,-0.05443291366100311
1727287783.439782,8760,-0.05403192713856697
1727287802.4383082,8880,-0.05361274629831314
1727287821.7733402,9000,-0.05311472341418266
1727287840.9845374,9120,-0.05353674292564392
1727287860.2080383,9240,-0.05310015007853508
1727287879.5457718,9360,-0.05190100520849228
1727287898.735488,9480,-0.05220266431570053
1727287917.848136,9600,-0.05152495950460434
1727287937.6233306,9720,-0.05136111006140709
1727287957.5199697,9840,-0.05138985440135002
1727287977.276544,9960,-0.05080682784318924
1727287996.3516307,10080,-0.1488649696111679
1727288015.7183282,10200,-0.48162344098091125
1727288035.1637957,10320,-0.48685121536254883
1727288054.5213618,10440,-0.4887409806251526
1727288073.5354962,10560,-0.48250260949134827
1727288092.946363,10680,-0.478400319814682
1727288112.332466,10800,-0.47616779804229736
1727288131.7560945,10920,-0.4763721227645874
1727288151.22136,11040,-0.4779502749443054
1727288170.5247412,11160,-0.47631481289863586
1727288189.8639767,11280,-0.47882336378097534
1727288209.2530246,11400,-0.47353148460388184
1727288228.3034592,11520,-0.47184985876083374
1727288247.3158083,11640,-0.46959400177001953
1727288266.6863976,11760,-0.46518635749816895
1727288286.4039123,11880,-0.46549251675605774
1727288305.804666,12000,-0.46740803122520447
1727288325.1010876,12120,-0.46494007110595703
1727288344.7251341,12240,-0.4644177556037903
1727288364.1964397,12360,-0.4582139253616333
1727288383.594131,12480,-0.45746177434921265
1727288402.8055096,12600,-0.4510480463504791
