Wall time,Step,Value
1726598331.245859,120,-9.856690406799316
1726598349.6170433,240,-13.44627857208252
1726598367.544455,360,-14.663561820983887
1726598384.9374897,480,-12.657195091247559
1726598401.4105854,600,-11.651455879211426
1726598418.7909007,720,-9.607439994812012
1726598436.12432,840,-8.165202140808105
1726598453.2840424,960,-7.38054895401001
1726598469.669377,1080,-6.501788139343262
1726598486.8662257,1200,-5.855423450469971
1726598504.1729605,1320,-5.0686869621276855
1726598521.8224332,1440,-4.657585144042969
1726598538.3337302,1560,-4.381405830383301
1726598555.7232487,1680,-4.109185218811035
1726598573.2916026,1800,-3.9076077938079834
1726598591.195458,1920,-3.6660192012786865
1726598607.9283962,2040,-3.617136240005493
1726598625.6224258,2160,-3.5613532066345215
1726598643.411647,2280,-3.459012985229492
1726598661.3603556,2400,-3.299685478210449
1726598678.1581566,2520,-3.2012429237365723
1726598695.9133847,2640,-3.1038014888763428
1726598714.1028614,2760,-3.0260846614837646
1726598732.21866,2880,-2.925154209136963
1726598749.421943,3000,-2.869072914123535
1726598767.3999767,3120,-2.7787394523620605
1726598785.5893247,3240,-2.709556818008423
1726598804.5373952,3360,-2.635986089706421
1726598822.2434242,3480,-2.638617753982544
1726598841.0390801,3600,-2.6018266677856445
1726598859.5785744,3720,-2.513737440109253
1726598878.1303356,3840,-2.505136013031006
1726598895.88983,3960,-2.430286407470703
1726598914.502471,4080,-2.425875186920166
1726598933.1609256,4200,-2.3424630165100098
1726598951.845936,4320,-2.315599203109741
1726598969.854739,4440,-2.2487692832946777
1726598988.8850799,4560,-2.221626043319702
1726599007.6406736,4680,-2.1927666664123535
1726599026.6510448,4800,-2.135286808013916
1726599044.5556848,4920,-2.129333257675171
1726599063.2467408,5040,-2.0754740238189697
1726599082.1962633,5160,-2.066145896911621
1726599100.97846,5280,-2.037228584289551
1726599118.8014336,5400,-2.0101170539855957
1726599137.547119,5520,-1.9352260828018188
1726599156.4931607,5640,-1.907705545425415
1726599175.3310337,5760,-1.8589707612991333
1726599193.2615478,5880,-1.8212436437606812
1726599212.3874893,6000,-1.8232600688934326
1726599231.4022377,6120,-1.7965834140777588
1726599250.4449754,6240,-1.7681986093521118
1726599268.5928457,6360,-1.776286005973816
1726599287.5154824,6480,-1.7438725233078003
1726599306.459257,6600,-1.7085201740264893
1726599325.6157117,6720,-1.683231234550476
1726599343.6795084,6840,-1.6600505113601685
1726599362.7269373,6960,-1.6512068510055542
1726599381.7701676,7080,-1.6249253749847412
1726599400.9934654,7200,-1.5625606775283813
1726599419.9421978,7320,-1.5511550903320312
1726599439.087283,7440,-1.5346990823745728
1726599458.5999012,7560,-1.5013259649276733
