Wall time,Step,Value
1727268670.9088154,120,-8.93208122253418
1727268686.7879007,240,-14.389047622680664
1727268702.795324,360,-13.154561042785645
1727268718.7270372,480,-11.270078659057617
1727268734.82603,600,-8.317620277404785
1727268750.5140293,720,-6.382678985595703
1727268766.2063715,840,-4.928592681884766
1727268781.8009148,960,-4.111260890960693
1727268797.6711395,1080,-3.57472562789917
1727268814.1279356,1200,-3.136855125427246
1727268830.259579,1320,-2.867070436477661
1727268846.3273263,1440,-2.7050273418426514
1727268862.4639046,1560,-2.6344680786132812
1727268878.3287537,1680,-2.461442232131958
1727268894.505681,1800,-2.4076485633850098
1727268910.8132942,1920,-2.348423719406128
1727268927.2571092,2040,-2.320894718170166
1727268943.6504903,2160,-2.2245614528656006
1727268960.67661,2280,-2.1706950664520264
1727268977.654892,2400,-2.0807297229766846
1727268994.2109952,2520,-2.034576892852783
1727269010.7644825,2640,-1.9392030239105225
1727269027.4757457,2760,-1.97592294216156
1727269044.4421961,2880,-1.9658695459365845
1727269061.2986672,3000,-1.871187686920166
1727269078.1095386,3120,-1.7723066806793213
1727269095.1238978,3240,-1.7363665103912354
1727269112.285173,3360,-1.7595046758651733
1727269129.3921044,3480,-1.7296594381332397
1727269146.605074,3600,-1.6901100873947144
1727269163.8306253,3720,-1.6812843084335327
1727269181.0484462,3840,-1.6708638668060303
1727269198.3543193,3960,-1.6591517925262451
1727269215.6666934,4080,-1.6534795761108398
1727269233.1853387,4200,-1.6745524406433105
1727269250.9722197,4320,-1.6791090965270996
1727269268.7640173,4440,-1.6813337802886963
1727269286.9189603,4560,-1.7167447805404663
1727269304.3036892,4680,-1.7020134925842285
1727269322.1587667,4800,-1.660182237625122
1727269339.8465724,4920,-1.6438792943954468
1727269357.508484,5040,-1.6645351648330688
1727269375.3262923,5160,-1.6607940196990967
1727269393.3059795,5280,-1.6598283052444458
1727269411.2804835,5400,-1.64004647731781
1727269429.1639078,5520,-1.6484962701797485
1727269446.97474,5640,-1.6425938606262207
1727269464.8578086,5760,-1.686134696006775
1727269482.654015,5880,-1.671371340751648
1727269500.8198767,6000,-1.6365238428115845
1727269518.8871243,6120,-1.623563289642334
1727269537.164795,6240,-1.6374608278274536
1727269554.8919437,6360,-1.6460742950439453
1727269572.5118256,6480,-1.6480122804641724
1727269590.168779,6600,-1.625401258468628
1727269607.6529205,6720,-1.6127347946166992
1727269625.2557495,6840,-1.6318306922912598
1727269642.8899026,6960,-1.652359962463379
1727269660.8820996,7080,-1.6544939279556274
1727269678.4803288,7200,-1.652940034866333
1727269696.0289326,7320,-1.6452475786209106
1727269713.7175336,7440,-1.6396112442016602
1727269731.248279,7560,-1.6490206718444824
1727269749.1366296,7680,-1.6277719736099243
1727269766.6554503,7800,-1.6271768808364868
1727269784.2550445,7920,-1.604600191116333
1727269801.7772884,8040,-1.6039730310440063
1727269819.6742404,8160,-1.5778172016143799
1727269837.3379483,8280,-1.557805061340332
1727269855.4759626,8400,-1.5404536724090576
1727269873.6259181,8520,-1.5232173204421997
1727269891.5314665,8640,-1.5185927152633667
1727269909.4067822,8760,-1.5027985572814941
1727269927.0692952,8880,-1.4690980911254883
1727269944.5273807,9000,-1.454772710800171
1727269962.544116,9120,-1.439178228378296
1727269980.4395218,9240,-1.4277950525283813
1727269998.0980322,9360,-1.4339121580123901
1727270015.6116686,9480,-1.4319103956222534
1727270033.2193377,9600,-1.4201805591583252
1727270050.7839766,9720,-1.4093133211135864
1727270068.4281838,9840,-1.3837398290634155
1727270086.1096182,9960,-1.372844934463501
1727270103.6890447,10080,-1.3582020998001099
1727270121.2147849,10200,-1.342702865600586
1727270138.778699,10320,-1.3188464641571045
1727270156.3855727,10440,-1.3063673973083496
1727270173.8889194,10560,-1.275469183921814
1727270191.3943074,10680,-1.2510753870010376
1727270209.0511632,10800,-1.2165175676345825
1727270227.1016905,10920,-1.1489137411117554
1727270245.0679295,11040,-1.0960743427276611
1727270263.1290715,11160,-1.0609997510910034
1727270280.7395046,11280,-1.0194441080093384
1727270298.7584684,11400,-0.991614818572998
1727270316.44946,11520,-0.9629988670349121
1727270334.061867,11640,-0.9140490293502808
1727270351.810473,11760,-0.8737879991531372
1727270369.3378248,11880,-0.8312516212463379
1727270386.8814068,12000,-0.8329781889915466
