Wall time,Step,Value
1727296708.0363624,120,-9.879911422729492
1727296723.845075,240,-13.910088539123535
1727296739.7441514,360,-13.312191009521484
1727296756.0147924,480,-11.094773292541504
1727296771.7935805,600,-8.282469749450684
1727296787.3636987,720,-6.364187717437744
1727296802.9586864,840,-5.147322177886963
1727296818.7800505,960,-4.260753631591797
1727296834.4045386,1080,-3.3332366943359375
1727296850.2053456,1200,-3.2055842876434326
1727296866.153601,1320,-2.8425700664520264
1727296882.3534212,1440,-2.830197811126709
1727296898.6123998,1560,-2.6086769104003906
1727296914.9606874,1680,-2.447021722793579
1727296931.5681438,1800,-2.3268322944641113
1727296947.931326,1920,-2.309861660003662
1727296964.353354,2040,-2.2250449657440186
1727296980.9709373,2160,-2.1470556259155273
1727296997.8990078,2280,-2.0774598121643066
1727297014.8013875,2400,-2.067918300628662
1727297031.641778,2520,-2.0632505416870117
1727297048.659864,2640,-2.048330545425415
1727297065.9047503,2760,-2.0404586791992188
1727297083.0244455,2880,-2.0746095180511475
1727297100.118627,3000,-1.990189552307129
1727297117.3465006,3120,-1.9407681226730347
1727297134.5540223,3240,-1.9463222026824951
1727297152.0160923,3360,-1.9299075603485107
1727297169.4829535,3480,-1.9756829738616943
1727297186.9833379,3600,-1.9549598693847656
1727297204.2839494,3720,-1.964815378189087
1727297221.683858,3840,-1.927091121673584
1727297239.2588246,3960,-1.9366289377212524
1727297256.5376353,4080,-1.9383840560913086
1727297273.6757512,4200,-1.9193018674850464
1727297290.9470835,4320,-1.8746668100357056
1727297308.3355436,4440,-1.8873201608657837
1727297325.6368902,4560,-1.8517180681228638
1727297342.9750507,4680,-1.8271253108978271
1727297360.4273298,4800,-1.8147025108337402
1727297377.8156931,4920,-1.8050816059112549
1727297395.2800982,5040,-1.7960537672042847
1727297412.8531144,5160,-1.8194835186004639
1727297430.483594,5280,-1.8095961809158325
1727297448.5175683,5400,-1.759950041770935
1727297466.0313354,5520,-1.698015809059143
1727297483.653229,5640,-1.7459843158721924
1727297501.1278152,5760,-1.731612205505371
1727297518.6594563,5880,-1.7235419750213623
1727297536.2551317,6000,-1.7264233827590942
1727297554.4913023,6120,-1.6995759010314941
1727297572.0799434,6240,-1.6662085056304932
1727297589.7887337,6360,-1.65158212184906
1727297607.498338,6480,-1.6404651403427124
1727297625.0311656,6600,-1.6257869005203247
1727297642.7553902,6720,-1.615033507347107
1727297660.3987148,6840,-1.604140043258667
1727297678.2425587,6960,-1.608746886253357
1727297695.8712225,7080,-1.590999960899353
1727297713.6285002,7200,-1.5909674167633057
1727297731.4627948,7320,-1.5643560886383057
1727297749.1454046,7440,-1.5590994358062744
1727297766.8710907,7560,-1.5623406171798706
1727297784.6071851,7680,-1.5662484169006348
1727297802.4800904,7800,-1.556013584136963
